"province","last_updated","date","change_cases","change_fatalities","change_tests","change_hospitalizations","change_criticals","change_recoveries","change_vaccinations","change_vaccinated","change_boosters_1","change_vaccines_distributed","total_cases","total_fatalities","total_tests","total_hospitalizations","total_criticals","total_recoveries","total_vaccinations","total_vaccinated","total_boosters_1","total_vaccines_distributed","change_boosters_2","total_boosters_2","change_active","total_active","positivity_rate"
"ON","2022-04-05 22:31:11",2020-01-25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,1,Inf
"ON","2022-04-05 22:31:11",2020-01-26,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,1,2,Inf
"ON","2022-04-05 22:31:11",2020-01-27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,0,2,NA
"ON","2022-04-05 22:31:11",2020-01-28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,0,2,NA
"ON","2022-04-05 22:31:11",2020-01-29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,0,2,NA
"ON","2022-04-05 22:31:11",2020-01-30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,0,2,NA
"ON","2022-04-05 22:31:11",2020-01-31,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,1,3,Inf
"ON","2022-04-05 22:31:11",2020-02-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA
"ON","2022-04-05 22:31:11",2020-02-02,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA
"ON","2022-04-05 22:31:11",2020-02-03,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA
"ON","2022-04-05 22:31:11",2020-02-04,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA
"ON","2022-04-05 22:31:11",2020-02-05,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA
"ON","2022-04-05 22:31:11",2020-02-06,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA
